,0,1
118,2022-02-05T22:00:00.000000000,13952.0
119,2022-02-05T23:00:00.000000000,305664.0
120,2022-02-06T00:00:00.000000000,813568.0
121,2022-02-06T01:00:00.000000000,1298496.0
122,2022-02-06T02:00:00.000000000,1649664.0
123,2022-02-06T03:00:00.000000000,1654784.0
124,2022-02-06T04:00:00.000000000,1664128.0
125,2022-02-06T05:00:00.000000000,1395840.0
126,2022-02-06T06:00:00.000000000,1022144.0
127,2022-02-06T07:00:00.000000000,462720.0
128,2022-02-06T08:00:00.000000000,55744.0
129,2022-02-06T09:00:00.000000000,0.0
130,2022-02-06T10:00:00.000000000,0.0
131,2022-02-06T11:00:00.000000000,0.0
132,2022-02-06T12:00:00.000000000,0.0
133,2022-02-06T13:00:00.000000000,0.0
134,2022-02-06T14:00:00.000000000,0.0
135,2022-02-06T15:00:00.000000000,0.0
136,2022-02-06T16:00:00.000000000,0.0
137,2022-02-06T17:00:00.000000000,0.0
138,2022-02-06T18:00:00.000000000,0.0
139,2022-02-06T19:00:00.000000000,0.0
140,2022-02-06T20:00:00.000000000,0.0
141,2022-02-06T21:00:00.000000000,0.0
142,2022-02-06T22:00:00.000000000,13568.0
143,2022-02-06T23:00:00.000000000,243968.0
144,2022-02-07T00:00:00.000000000,632576.0
145,2022-02-07T01:00:00.000000000,1086272.0
146,2022-02-07T02:00:00.000000000,1368896.0
147,2022-02-07T03:00:00.000000000,1493888.0
148,2022-02-07T04:00:00.000000000,1319168.0
149,2022-02-07T05:00:00.000000000,1185536.0
150,2022-02-07T06:00:00.000000000,928320.0
151,2022-02-07T07:00:00.000000000,424704.0
152,2022-02-07T08:00:00.000000000,54016.0
153,2022-02-07T09:00:00.000000000,0.0
154,2022-02-07T10:00:00.000000000,0.0
155,2022-02-07T11:00:00.000000000,0.0
156,2022-02-07T12:00:00.000000000,0.0
157,2022-02-07T13:00:00.000000000,0.0
158,2022-02-07T14:00:00.000000000,0.0
159,2022-02-07T15:00:00.000000000,0.0
160,2022-02-07T16:00:00.000000000,0.0
161,2022-02-07T17:00:00.000000000,0.0
162,2022-02-07T18:00:00.000000000,0.0
163,2022-02-07T19:00:00.000000000,0.0
164,2022-02-07T20:00:00.000000000,0.0
165,2022-02-07T21:00:00.000000000,0.0
166,2022-02-07T22:00:00.000000000,20160.0
167,2022-02-07T23:00:00.000000000,333504.0
168,2022-02-08T00:00:00.000000000,908992.0
169,2022-02-08T01:00:00.000000000,1459520.0
170,2022-02-08T02:00:00.000000000,1780864.0
171,2022-02-08T03:00:00.000000000,1871424.0
172,2022-02-08T04:00:00.000000000,1758336.0
173,2022-02-08T05:00:00.000000000,1485952.0
